LenderAmountCred,LenderAmountCred30,LenderAmountDeb,LenderAmountDeb30,LenderCountCred,LenderCountCred30,LenderCountDeb,LenderCountDeb30,LoanId,UniqLenderCount
3110.0,2505.0,-3341.0099999999998,-1725.52,4.0,1.0,14.0,8.0,46620286476.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11631923574.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47624085368.0,0.0
3300.0,300.0,-3608.78,-851.4999999999999,7.0,1.0,12.0,4.0,39616798787.0,4.0
0.0,0.0,-159.39999999999998,0.0,0.0,0.0,2.0,0.0,48657484896.0,1.0
550.0,350.0,-1444.14,-666.3800000000001,2.0,1.0,8.0,3.0,81613785670.0,2.0
0.0,0.0,-722.1400000000001,-182.0,0.0,0.0,6.0,1.0,41617490852.0,2.0
2600.0,1000.0,-951.34,-781.34,4.0,1.0,7.0,5.0,44580069934.0,4.0
500.0,500.0,-150.0,-50.0,1.0,1.0,3.0,1.0,11640747556.0,2.0
1350.0,0.0,-1599.37,-895.87,2.0,0.0,7.0,4.0,39609320756.0,3.0
1264.71,0.0,-5001.43,-1895.78,2.0,0.0,33.0,12.0,15642149388.0,8.0
0.0,0.0,-4808.070000000001,-1393.46,0.0,0.0,17.0,6.0,17640974246.0,4.0
100.0,0.0,-12.87,0.0,1.0,0.0,1.0,0.0,16600781182.0,1.0
185.0,30.0,-2807.6900000000005,-829.7500000000001,3.0,1.0,31.0,9.0,80611722473.0,7.0
325.0,0.0,-453.21000000000004,-195.22,1.0,0.0,5.0,2.0,42599763469.0,1.0
800.0,800.0,0.0,0.0,1.0,1.0,0.0,0.0,69603560554.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61610685820.0,0.0
275.0,0.0,-223.64999999999998,-223.64999999999998,1.0,0.0,3.0,3.0,23654894748.0,2.0
350.0,350.0,-142.5,-142.5,1.0,1.0,1.0,1.0,44643870395.0,2.0
1410.0,0.0,-634.59,-545.48,4.0,0.0,6.0,5.0,94602717936.0,2.0
1900.0,1900.0,-1517.3900000000003,-263.69,4.0,4.0,6.0,2.0,49622131995.0,4.0
750.0,750.0,0.0,0.0,2.0,2.0,0.0,0.0,36598093241.0,2.0
0.0,0.0,-610.0,-600.0,0.0,0.0,3.0,2.0,95633065733.0,3.0
